Job Title,Job Link,Company,Company Link,Experience Required,Location
Modelling & Data Science Director,https://www.naukri.com/job-listings-modelling-data-science-director-aegis-media-new-delhi-pune-bengaluru-5-to-9-years-170225502462,Aegis Media,https://www.naukri.com/aegis-media-jobs-careers-124498042,5-9 Yrs ,"New Delhi, Pune, Bengaluru "
Data Scientist,https://www.naukri.com/job-listings-data-scientist-mccormick-gurugram-5-to-10-years-050625502683,McCormick,https://www.naukri.com/mccormick-jobs-careers-3310792,5-10 Yrs ,Gurugram 
"Data Scientist, Risk Data Analytics",https://www.naukri.com/job-listings-data-scientist-risk-data-analytics-fil-india-business-and-research-services-private-limited-gurugram-9-to-14-years-060625923705,Fidelity International,https://www.naukri.com/fidelity-international-jobs-careers-458607,9-14 Yrs ,Gurugram 
Product Engineer Geospatial Data Science,https://www.naukri.com/job-listings-product-engineer-geospatial-data-science-esri-new-delhi-3-to-6-years-190525504427,Esri India,https://www.naukri.com/esri-india-jobs-careers-1857100,3-6 Yrs ,New Delhi 
Modelling & Data Science Manager,https://www.naukri.com/job-listings-modelling-data-science-manager-aegis-media-new-delhi-pune-bengaluru-3-to-6-years-240425501675,Aegis Media,https://www.naukri.com/aegis-media-jobs-careers-124498042,3-6 Yrs ,"New Delhi, Pune, Bengaluru "
Product Engineer - Geospatial Data Science,https://www.naukri.com/job-listings-product-engineer-geospatial-data-science-esri-new-delhi-2-to-5-years-210325504555,Esri India,https://www.naukri.com/esri-india-jobs-careers-1857100,2-5 Yrs ,New Delhi 
Manager - Data Science,https://www.naukri.com/job-listings-manager-data-science-mastercard-gurugram-8-to-13-years-080425502878,Mastercard,https://www.naukri.com/mastercard-jobs-careers-1698638,8-13 Yrs ,Gurugram 
AM/DM - Data Analyst / Data Scientist / Digital Project Lead,https://www.naukri.com/job-listings-am-dm-data-analyst-data-scientist-digital-project-lead-maruti-true-value-gurugram-3-to-9-years-310525500290,Maruti True Value,https://www.naukri.com/maruti-suzuki-jobs-careers-13629,3-9 Yrs ,Gurugram 
AVP - Data Science (Data Engineering and ML Modeling),https://www.naukri.com/job-listings-avp-data-science-data-engineering-and-ml-modeling-aye-finance-p-ltd-gurugram-3-to-8-years-110624501129,Aye Finance,https://www.naukri.com/aye-finance-jobs-careers-1935364,3-8 Yrs ,Gurugram 
DATA SCIENCE ENGINEERS WITH PYTHON SKILLS,https://www.naukri.com/job-listings-data-science-engineers-with-python-skills-summit-information-technologies-pvt-ltd-c-gurugram-2-to-9-years-100624500569,Summit Information Technologies Pvt. Ltd.c,https://www.naukri.com/summit-information-technologies-jobs-careers-142148,2-9 Yrs ,Gurugram 
Data Science,https://www.naukri.com/job-listings-data-science-marg-compusoft-pvt-ltd-new-delhi-1-to-5-years-030125502062,Marg ERP,https://www.naukri.com/marg-erp-jobs-careers-68226,1-5 Yrs ,New Delhi 
Principal Clinical Data Science Lead,https://www.naukri.com/job-listings-principal-clinical-data-science-lead-icon-pharmaceutical-s-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-8-to-12-years-220525505171,ICON plc,https://www.naukri.com/icon-plc-jobs-careers-144953,8-12 Yrs ,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru "
Senior Consultant Data Science,https://www.naukri.com/job-listings-senior-consultant-data-science-arcadis-noida-3-to-6-years-260425504253,Arcadis,https://www.naukri.com/arcadis-jobs-careers-457491,3-6 Yrs ,Noida 
Data Science Program Manager,https://www.naukri.com/job-listings-data-science-program-manager-brilyant-it-solutions-mumbai-gurugram-bengaluru-4-to-6-years-210425500649,Brilyant,https://www.naukri.com/brilyant-jobs-careers-5242460,4-6 Yrs ,"Mumbai, Gurugram, Bengaluru "
Senior Consultant - Data Science,https://www.naukri.com/job-listings-senior-consultant-data-science-arcadis-noida-mumbai-8-to-9-years-080425501306,Arcadis,https://www.naukri.com/arcadis-jobs-careers-457491,8-9 Yrs ,"Noida, Mumbai "
"Analyst-Data Analytics (Python, SQL)",https://www.naukri.com/job-listings-analyst-data-analytics-python-sql-american-express-india-gurugram-0-to-4-years-300525501680,AMERICAN EXPRESS,https://www.naukri.com/american-express-jobs-careers-2256,0-4 Yrs ,Gurugram 
Analyst - Data Analytics,https://www.naukri.com/job-listings-analyst-data-analytics-american-express-india-gurugram-0-to-4-years-030625501631,AMERICAN EXPRESS,https://www.naukri.com/american-express-jobs-careers-2256,0-4 Yrs ,Gurugram 
Analyst -Data Analytics,https://www.naukri.com/job-listings-analyst-data-analytics-american-express-india-gurugram-0-to-4-years-020625502605,AMERICAN EXPRESS,https://www.naukri.com/american-express-jobs-careers-2256,0-4 Yrs ,Gurugram 
ML Data Analyst,https://www.naukri.com/job-listings-ml-data-analyst-msg-ai-gurugram-2-to-5-years-300525501288,Netomi,https://www.naukri.com/netomi-jobs-careers-4306490,2-5 Yrs ,Gurugram 
Associate Program Manager - Business Analytics & Data Science,https://www.naukri.com/job-listings-associate-program-manager-business-analytics-data-science-testbook-edu-solutions-pvt-ltd-noida-1-to-3-years-111024502609,Testbook Edu Solutions,https://www.naukri.com/testbook-edu-solutions-jobs-careers-1524102,1-3 Yrs ,Noida 
Analyst - Data Analytics & Strategy,https://www.naukri.com/job-listings-analyst-data-analytics-strategy-mastermind-network-delhi-ncr-1-to-3-years-020625014791,NA,NA,1-3 Yrs ,Delhi / NCR 
"Intern - Media, Data Science and Research",https://www.naukri.com/job-listings-intern-media-data-science-and-research-adobe-systems-india-pvt-ltd-noida-bengaluru-2-to-7-years-050625501042,Adobe,https://www.naukri.com/adobe-jobs-careers-30,2-7 Yrs ,"Noida, Bengaluru "
DE&A - AIML - Data Science - Data Science,https://www.naukri.com/job-listings-de-a-aiml-data-science-data-science-zensar-technologies-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-5-years-060625502477,Zensar,https://www.naukri.com/zensar-jobs-careers-1405,2-5 Yrs ,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru "
"Data Scientist III, Product analytics",https://www.naukri.com/job-listings-data-scientist-iii-product-analytics-expedia-group-gurugram-bengaluru-5-to-10-years-060625501131,Expedia Group,https://www.naukri.com/expedia-jobs-careers-753685,5-10 Yrs ,"Gurugram, Bengaluru "
Data Science Analytics,https://www.naukri.com/job-listings-data-science-analytics-diverse-infotech-pvt-ltd-gurgaon-2-to-7-years-110620500887,Diverse Infotech,https://www.naukri.com/diverse-infotech-jobs-careers-852778,2-7 Yrs ,Gurgaon 
Manager - Data Scientist,https://www.naukri.com/job-listings-manager-data-scientist-indigo-gurugram-4-to-8-years-060625016077,IndiGo,https://www.naukri.com/indigo-jobs-careers-3018490,4-8 Yrs ,Gurugram 
